# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.5968816031822817,3.790708961599492,4.802918466694992,4.429843366076393,1.75,0.0,-0.04318117814445908,90.0,-4.326856823890335,0.0
 1.6105722697679674,3.8145979558387677,4.80474429688688,4.370605811936511,1.75,0.0,-0.04251294589238746,90.0,-4.260048086642245,0.0
 1.6242798108602587,3.838518245312418,4.806547999346307,4.312211027733726,1.75,0.0,-0.041860317352658355,90.0,-4.194797832752087,0.0
 1.6380032849122714,3.862468140798673,4.8083297358924275,4.254643828522513,1.75,0.0,-0.04122280746098295,90.0,-4.131057667369856,0.0
 1.65174174983357,3.8864459530757633,4.810089668344394,4.197889437671491,1.75,0.0,-0.04059994820529517,90.0,-4.068780900300499,0.0
 1.6654942630041227,3.9104499929219223,4.811827958521359,4.141933474752015,1.75,0.0,-0.039991287968123436,90.0,-4.007922472883881,0.0
 1.679259881287814,3.9344785711153802,4.813544768242478,4.086761943879668,1.75,0.0,-0.03939639095841523,90.0,-3.948438886992996,0.0
 1.693037661045539,3.958529998434368,4.815240259326902,4.0323612225078405,1.75,0.0,-0.038814836178004845,90.0,-3.8902881371483664,0.0
 1.7068266581478924,3.982602585657118,4.816914593593785,3.978718050657383,1.75,0.0,-0.038246216963360495,90.0,-3.8334296464521596,0.0
 1.7206259279874603,4.00669464356186,4.818567932862281,3.92581952055499,1.75,0.0,-0.0376901404206197,90.0,-3.7778242054131366,0.0
 1.7344345254907436,4.030804482926828,4.8202004389515425,3.8736530666642786,1.75,0.0,-0.037146226954140375,90.0,-3.7234339134862218,0.0
 1.748251505129709,4.054930414530251,4.821812273680723,3.8222064560946065,1.75,0.0,-0.0366141091987329,90.0,-3.6702221211474786,0.0
 1.7620759209329986,4.07907074915036,4.8234035988689765,3.771467779401432,1.75,0.0,-0.03609343209101813,90.0,-3.6181533793309852,0.0
 1.775906826496798,4.103223797565389,4.824974576335455,3.7214254416965633,1.75,0.0,-0.035583851873846814,90.0,-3.5671933847666235,0.0
 1.7897432749953792,4.127387870553567,4.826525367899312,3.6720681541437608,1.75,0.0,-0.03508503605016002,90.0,-3.5173089335101113,0.0
 1.8035843191913312,4.151561278893125,4.828056135379702,3.6233849257442303,1.75,0.0,-0.03459666245481941,90.0,-3.4684678734209355,0.0
 1.8174290114454914,4.175742333362296,4.829567040595777,3.575365055443276,1.75,0.0,-0.034118419018666746,90.0,-3.4206390570998426,0.0
 1.83127640372658,4.199929344739312,4.831058245366692,3.5279981245676013,1.75,0.0,-0.03365000365192764,90.0,-3.373792302259478,0.0
 1.845125547620555,4.224120623802401,4.832529911511597,3.4812739895052247,1.75,0.0,-0.03319112296466348,90.0,-3.327898345901509,0.0
 1.8589754943397023,4.248314481329797,4.833982200849649,3.4351827747277506,1.75,0.0,-0.03274149292672616,90.0,-3.2829288101322858,0.0
 1.872825294731455,4.272509228099731,4.835415275199998,3.3897148660070844,1.75,0.0,-0.032300837731226044,90.0,-3.2388561574617194,0.0
 1.8866739992869637,4.296703174890434,4.836829296381801,3.344860903984607,1.75,0.0,-0.03186888974410915,90.0,-3.1956536607190213,0.0
 1.9005206581494278,4.320894632480138,4.838224426214207,3.300611777902046,1.75,0.0,-0.03144538890920868,90.0,-3.153295361491059,0.0
 1.9143643211221815,4.345081911647072,4.839600826516373,3.256958619664016,1.75,0.0,-0.03103008281218246,90.0,-3.111756041468311,0.0
 1.9282040376765628,4.36926332316947,4.84095865910745,3.213892798063711,1.75,0.0,-0.030622726000650524,90.0,-3.071011186506249,0.0
 1.9420388569595555,4.393437177825563,4.8422980858065925,3.171405913282348,1.75,0.0,-0.030223079649710993,90.0,-3.0310369558722767,0.0
 1.955867827801222,4.417601786393581,4.843619268432953,3.1294897915995765,1.75,0.0,-0.029830911739218067,90.0,-2.9918101517126,0.0
 1.9696899987219323,4.4417554596517554,4.844922368805685,3.088136480320289,1.75,0.0,-0.029445995995052633,90.0,-2.9533081908141128,0.0
 1.9835044179393932,4.465896508378319,4.8462075487439416,3.0473382428940217,1.75,0.0,-0.029068112238241437,90.0,-2.9155090732470264,0.0
