# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9,4.453475573617814,0.05993966373503011,0,3.0,0.24948997053261032,90.0,0.0,0.0
 0.07461748143776778,1.908351648234073,4.453484310651739,0.05993966373503011,0.22385244431330334,3.0,0.24948997053261032,90.0,3.8649657165133617,0.0
 0.1054800510588642,1.9166890163982344,4.4535103902046975,0.17922243724407452,0.3164401531765926,2.9999999999999996,0.24791290033885352,90.0,5.0029889598724155,0.0
 0.1291314330759751,1.9250122329153083,4.453553614953465,0.29755004036140537,0.3873942992279253,2.9999999999999996,0.2463018724968758,90.0,5.893403926157876,0.0
 0.14904541070457047,1.933321426208118,4.453613787574817,0.4149111543031894,0.4471362321137114,3.0,0.24465698529430457,90.0,6.641822473011266,0.0
 0.16656821789714793,1.9416167246994869,4.453690710745524,0.5312945289050939,0.49970465369144373,2.9999999999999982,0.2429783441774555,90.0,7.293098340078137,0.0
 0.1823906365755083,1.9498982568122387,4.4537841871423645,0.6466889843042651,0.5471719097265249,3.0,0.2412660613203027,90.0,7.871574854297189,0.0
 0.19692323395530978,1.9581661509691972,4.453894019442111,0.7610834124067357,0.5907697018659293,2.9999999999999982,0.23952025629312404,90.0,8.392288165797632,1.0518437742414486e-12
 0.21043365733111039,1.9664205355931856,4.454020010321539,0.8744667786183828,0.6313009719933311,3.000000000000004,0.23774105553384364,90.00000000000001,8.865320001360859,-1.1212376900118438e-12
 0.22310791439702465,1.974661539107028,4.454161962457422,0.9868281232872218,0.669323743191074,3.0000000000000067,0.23592859230780477,90.0,9.297828646096603,0.0
 0.23508150997908892,1.9828892899335473,4.454319678526537,1.0981565632869146,0.7052445299372668,3.000000000000002,0.23408300645287855,90.0,9.695117034432748,0.0
 0.24645679608880233,1.9911039164955675,4.454492961205656,1.2084412934207434,0.7393703882664071,3.000000000000002,0.2322044448628067,90.0,10.061244636579206,0.0
 0.2573133350669018,1.999305547215912,4.454681613171554,1.3176715879859597,0.7719400052007054,2.99999999999999,0.23029306080685022,90.0,10.399401347395186,0.0
 0.26771443513842474,2.0074943105174046,4.454885437101007,1.4258368020841476,0.8031433054152742,3.0,0.22834901408468716,90.0,10.712147887080873,1.421508890907354e-12
 0.2777114564768781,2.0156703348228686,4.455104235670789,1.5329263730919633,0.8331343694306343,3.0,0.22637247119605963,90.00000000000001,11.001576798258345,-1.4748747440840124e-12
 0.28734675247215113,2.023833748555128,4.455337811557674,1.6389298219579105,0.8620402574164534,3.0,0.2243636047300051,90.0,11.269424021613068,0.0
 0.29665574044219284,2.031984680137006,4.455585967438437,1.7438367546044056,0.8899672213265786,3.0000000000000058,0.22232259351438605,90.0,11.517148413952413,0.0
 0.30566839746472846,2.0401232579913255,4.455848505989853,1.8476368631369986,0.9170051923941854,3.0,0.22024962278067212,90.0,11.745989860517877,0.0
 0.31441036517004617,2.048249610540912,4.456125229888695,1.9503199271646352,0.9432310955101386,3.000000000000006,0.21814488363421028,90.0,11.957012612907539,-1.6731611783434299e-12
 0.32290378164368916,2.056363866208587,4.45641594181174,2.051875815066661,0.9687113449310677,3.000000000000013,0.21600857332439855,89.99999999999999,12.151138197445245,1.7195812249512954e-12
 0.3311679185794739,2.064466153417175,4.45672044443576,2.1522944850559935,0.993503755738422,3.0,0.2138408949315649,90.0,12.329170882367956,0.0
 0.33921967667830233,2.0725566005895,4.457038540437532,2.251565986559939,1.017659030034907,2.9999999999999862,0.21164205715389622,90.0,12.49181754470106,0.0
 0.347073976042183,2.080635336148385,4.457370032493829,2.349680461154998,1.0412219281265491,3.000000000000007,0.20941227470708218,90.0,12.639703514585628,0.0
 0.35474406755625415,2.0887024885166534,4.457714723281426,2.4466281438225965,1.0642322026687627,3.0000000000000147,0.20715176799881135,90.0,12.773385232294517,1.8953577231455572e-12
 0.36224178397234974,2.0967581861171296,4.458072415477098,2.542399363967884,1.0867253519170494,2.9999999999999925,0.20486076225975666,90.00000000000001,12.89336054319358,-1.937149864183591e-12
 0.36957774438406066,2.1048025573726363,4.4584429117576185,2.636984546486668,1.108733233152182,2.99999999999997,0.20253948896417978,90.0,13.000077116148915,-1.9781868219862085e-12
 0.3767615222544104,2.112835730705997,4.458826014799763,2.7303742127864985,1.1302845667632313,3.0000000000000155,0.20018818458467916,89.99999999999999,13.093939396550537,0.0
 0.38380178463820125,2.120857834540036,4.459221527280306,2.8225589817756704,1.1514053539146039,3.0,0.19780709058877485,89.99999999999999,13.175314398409926,4.116329917989593e-12
 0.39070640841633736,2.128868997297577,4.459629251876022,2.9135295708553506,1.1721192252490122,3.000000000000008,0.1953964538532267,90.00000000000001,13.244536546521768,-2.09718108414642e-12
 0.3974825780197295,2.1368693474014426,4.460048991263685,3.003276796812908,1.1924477340591886,2.9999999999999756,0.19295652614294465,90.0,13.30191178537041,0.0
 0.40413686812457916,2.1448590132744574,4.460480548120071,3.091791576781881,1.2124106043737375,3.0,0.19048756439737044,90.0,13.34772104200115,0.0
 0.4106753140521678,2.152838123339444,4.460923725121952,3.1790649290715423,1.2320259421565034,3.0000000000000084,0.1879898304712584,90.0,13.38222321671593,0.0
 0.41710347203748,2.160806806019227,4.461378324946106,3.2650879741033054,1.25131041611244,2.9999999999999916,0.18546359026378526,90.0,13.405657703849867,0.0
